nearest_10,distance_nat,distance_ref,distance_plant,closest_type,freq_category
1220,109736.818256137,92096.9191426788,63248.7983026931,Plantation,0-1 kHz
1230,100885.102736941,100671.24556576,55024.0975380147,Plantation,0-1 kHz
1240,93924.7055778611,82018.6819662335,49582.8027716159,Plantation,0-1 kHz
1250,96622.2713343131,74486.0384682036,53994.275377888,Plantation,0-1 kHz
1260,72688.9312842097,57047.7192151767,43759.2165131135,Plantation,0-1 kHz
1270,67321.2351728622,57081.1163780234,34126.9348009933,Plantation,0-1 kHz
1280,66011.527633116,47322.9758683593,37634.1183185438,Plantation,0-1 kHz
1290,47610.5332753947,54328.7251721263,19612.5700609217,Plantation,0-1 kHz
1300,80629.2759011814,70325.79477143,34280.0389617195,Plantation,0-1 kHz
1310,91143.9216177283,79912.3471613619,34904.9181804375,Plantation,0-1 kHz
1320,67406.5610526137,80036.0155893247,34988.5536681563,Plantation,0-1 kHz
1330,85987.4848381647,72278.6400710495,41925.4484953961,Plantation,0-1 kHz
1340,92338.5013039319,61525.5950078189,43428.1875210075,Plantation,0-1 kHz
1350,89346.3136238432,62458.0535695018,34081.2276595277,Plantation,0-1 kHz
1360,91633.1871428619,83611.6652157436,30550.1355772192,Plantation,0-1 kHz
1370,78992.7326230426,60696.4860936067,24521.5233878341,Plantation,0-1 kHz
1380,84680.1283496636,69817.2834567727,29458.2347068722,Plantation,0-1 kHz
1390,92774.3776493626,75405.8089315827,23500.2920363306,Plantation,0-1 kHz
1400,74118.218609791,45498.8160800679,21012.0050743006,Plantation,0-1 kHz
1410,44223.2816168922,25712.3482548076,29905.5229278449,Reference_Forest,0-1 kHz
1420,41306.6084858866,22935.9607624389,47268.3579723042,Reference_Forest,0-1 kHz
1430,25702.0041437036,17695.5799149099,60383.4236046672,Reference_Forest,0-1 kHz
1440,29999.2054824279,25102.2949078387,56293.1098887816,Reference_Forest,0-1 kHz
0,115620.21686585,70854.3224883913,105210.94039584,Reference_Forest,1-2 kHz
10,119983.609555889,71851.4517253134,108125.019508635,Reference_Forest,1-2 kHz
20,97821.8706378369,52123.3947052522,89787.3841359413,Reference_Forest,1-2 kHz
30,104023.85589339,57351.5523968629,83727.8248760657,Reference_Forest,1-2 kHz
40,102623.353075323,67019.3035593229,96219.3201598163,Reference_Forest,1-2 kHz
50,98496.7598923803,63687.934283549,91625.4283785583,Reference_Forest,1-2 kHz
60,110752.041705973,69888.2379940497,91154.0123871123,Reference_Forest,1-2 kHz
70,104687.020525086,65446.4650749822,82886.4971490917,Reference_Forest,1-2 kHz
80,109046.418631437,81955.2879797307,98159.951759242,Reference_Forest,1-2 kHz
90,100162.204600205,72645.2275137569,89100.119162938,Reference_Forest,1-2 kHz
100,87391.4303100189,59778.7180630242,85769.3659262279,Reference_Forest,1-2 kHz
110,72532.0881141122,35353.670686848,53517.3632835341,Reference_Forest,1-2 kHz
120,59850.3328456143,35634.8174819342,49081.7085870291,Reference_Forest,1-2 kHz
130,74898.6643697647,44228.6797799791,67592.1654390016,Reference_Forest,1-2 kHz
140,83330.536230617,56592.7808773168,98980.7816527117,Reference_Forest,1-2 kHz
150,93057.8278308781,55411.0133155059,94740.6644208458,Reference_Forest,1-2 kHz
160,75441.7936206529,57631.009442364,84212.7152392929,Reference_Forest,1-2 kHz
170,68120.7381629497,43669.9560827336,87230.5106681505,Reference_Forest,1-2 kHz
180,67258.0459114022,61077.6195586889,86024.607929313,Reference_Forest,1-2 kHz
190,67085.5161754194,48731.3628657155,84870.3244958002,Reference_Forest,1-2 kHz
200,60955.4246887637,45767.5259883609,80947.0449584729,Reference_Forest,1-2 kHz
210,51827.5506114251,45497.0890529573,75583.6745974387,Reference_Forest,1-2 kHz
220,72848.5746656029,43041.7834669558,68004.33423654,Reference_Forest,1-2 kHz
230,101465.613822905,45377.8564231012,88134.3273191876,Reference_Forest,1-2 kHz
240,99481.3993922718,44382.9393058573,86843.0746490923,Reference_Forest,1-2 kHz
250,116568.67678515,38180.1915760174,100405.154069578,Reference_Forest,1-2 kHz
260,108395.66042717,28757.4344621653,96138.7266380307,Reference_Forest,1-2 kHz
270,113781.226044101,50447.3768470948,113975.422806683,Reference_Forest,1-2 kHz
280,109291.687875355,59329.8619667236,106063.563886195,Reference_Forest,1-2 kHz
290,152174.34299641,65517.3362379524,128791.929577262,Reference_Forest,1-2 kHz
300,191017.175633978,94977.1167713403,182717.941338878,Reference_Forest,1-2 kHz
310,107424.569123538,58635.2609496389,138905.308574853,Reference_Forest,1-2 kHz
320,89697.4854854942,110310.304768826,126001.800502243,Natural_Regeneration,1-2 kHz
330,81228.0413390688,112428.188058431,110586.555855706,Natural_Regeneration,1-2 kHz
340,92384.300937807,81314.7685550661,109695.909419224,Reference_Forest,1-2 kHz
350,77691.7669608718,70435.2821866643,89908.9302802044,Reference_Forest,1-2 kHz
360,44945.2378281514,71763.7997389028,73952.1525925909,Natural_Regeneration,1-2 kHz
370,39107.1913155717,80888.2257868459,81914.5617416752,Natural_Regeneration,1-2 kHz
380,46906.4824125423,75743.2477806537,99454.2770088657,Natural_Regeneration,1-2 kHz
390,57990.6649183853,73098.40441457,113899.171769684,Natural_Regeneration,1-2 kHz
400,61971.586031148,82453.5650993238,101253.979104998,Natural_Regeneration,1-2 kHz
410,48688.38402559,82601.4859646307,101326.761003945,Natural_Regeneration,1-2 kHz
420,73220.4884212459,64629.5107803144,139409.399313186,Reference_Forest,1-2 kHz
430,90447.6565635018,56939.3568878454,139584.920312413,Reference_Forest,1-2 kHz
440,62611.7443124072,69571.5573930815,115092.918681398,Natural_Regeneration,1-2 kHz
450,67889.8892578934,80760.8939830225,114532.286561042,Natural_Regeneration,1-2 kHz
460,103105.381817522,56875.0284837019,141011.783169267,Reference_Forest,1-2 kHz
470,74993.25426053,84655.5982083073,105342.455374212,Natural_Regeneration,1-2 kHz
480,72418.4056320387,85735.8544486526,100764.943418385,Natural_Regeneration,1-2 kHz
490,93922.753323781,76510.7197095559,129733.577737941,Reference_Forest,1-2 kHz
500,70180.9355567945,83838.6726775819,101101.505321712,Natural_Regeneration,1-2 kHz
510,114227.762328396,46541.2166508981,139356.219796897,Reference_Forest,1-2 kHz
520,92812.4792707243,62359.4582754498,129337.33478373,Reference_Forest,1-2 kHz
530,86437.8869627185,84126.2091379704,109435.420218756,Reference_Forest,1-2 kHz
540,71642.8670434529,49274.8042318126,94550.8724939776,Reference_Forest,1-2 kHz
550,101420.447756372,36102.6597156272,117241.605367559,Reference_Forest,1-2 kHz
560,93884.6069205826,52795.286691558,121169.81271682,Reference_Forest,1-2 kHz
570,86031.3452330527,53334.9421294398,128475.952425255,Reference_Forest,1-2 kHz
580,93121.7187795477,60097.4930230919,141130.040641623,Reference_Forest,1-2 kHz
590,91404.2582707468,59691.7651448039,126641.445314287,Reference_Forest,1-2 kHz
600,105391.274933958,91893.4966283854,134315.509246403,Reference_Forest,1-2 kHz
610,104085.092266587,76928.8022195724,132517.125713014,Reference_Forest,1-2 kHz
620,117432.80748395,68637.5659940982,143589.101039258,Reference_Forest,1-2 kHz
630,123573.748019325,89716.2340860449,166262.04940815,Reference_Forest,1-2 kHz
640,117486.207498502,99611.6138859395,160629.684316398,Reference_Forest,1-2 kHz
650,123767.040567016,94832.0413317032,156673.19531223,Reference_Forest,1-2 kHz
660,130215.72479614,82874.7445323805,167854.46183379,Reference_Forest,1-2 kHz
670,154520.426294661,82408.9955528537,203641.244757175,Reference_Forest,1-2 kHz
680,180404.409545353,117228.790163423,210614.913607003,Reference_Forest,1-2 kHz
690,161439.592338485,94121.9376104752,205989.278727191,Reference_Forest,1-2 kHz
700,165539.239285877,101033.202449864,196798.221916507,Reference_Forest,1-2 kHz
710,166134.934243748,98264.9409644501,188347.509934868,Reference_Forest,1-2 kHz
720,118899.166609221,94493.6201078378,141522.200033608,Reference_Forest,1-2 kHz
730,105173.386420271,64603.6477079539,125789.906494824,Reference_Forest,1-2 kHz
740,105279.569735666,92663.1012699758,124925.046304083,Reference_Forest,1-2 kHz
750,111834.766393851,80742.4111142265,152140.252062275,Reference_Forest,1-2 kHz
760,112958.384576153,70617.8583400557,147133.783241222,Reference_Forest,1-2 kHz
770,118681.700250682,89277.4316725163,136664.338768295,Reference_Forest,1-2 kHz
780,98759.2318838123,61946.9862051925,127625.910744946,Reference_Forest,1-2 kHz
790,120547.954005565,77846.4392835139,133848.064931138,Reference_Forest,1-2 kHz
800,117657.258819707,109316.425198364,139724.516966775,Reference_Forest,1-2 kHz
810,122373.66712998,85191.4258511929,134175.20504282,Reference_Forest,1-2 kHz
820,116260.830747524,98338.0926084554,143405.874394251,Reference_Forest,1-2 kHz
830,130407.109032616,102440.731451765,159123.285138276,Reference_Forest,1-2 kHz
840,160447.806249056,115207.458073287,190091.838493969,Reference_Forest,1-2 kHz
850,163993.241908766,137691.111544476,190019.33457473,Reference_Forest,1-2 kHz
860,145155.051161791,89326.2315091539,163856.95071522,Reference_Forest,1-2 kHz
870,141826.692743856,71140.9946065348,164634.768121975,Reference_Forest,1-2 kHz
880,129321.584396337,73865.9240553032,157350.100002615,Reference_Forest,1-2 kHz
890,127349.055022778,71384.9909470787,159130.149191711,Reference_Forest,1-2 kHz
900,108576.650613321,66464.3128747227,140803.545957996,Reference_Forest,1-2 kHz
910,116220.21998125,86440.6271384215,159453.769782114,Reference_Forest,1-2 kHz
920,113013.550767268,66324.9195134402,155713.654292578,Reference_Forest,1-2 kHz
930,101197.416645694,82337.2191768449,161818.664807506,Reference_Forest,1-2 kHz
940,124952.889808687,78667.8175583891,163966.122378233,Reference_Forest,1-2 kHz
950,137073.494512036,64773.3387900242,163508.09729303,Reference_Forest,1-2 kHz
960,148641.415192919,73034.8854154484,176096.853335329,Reference_Forest,1-2 kHz
970,167650.755123763,94342.5726949303,198376.734894229,Reference_Forest,1-2 kHz
980,172075.081522236,101658.768714454,197222.067949939,Reference_Forest,1-2 kHz
990,159051.038381298,85126.5089104513,183165.197411648,Reference_Forest,1-2 kHz
1000,161027.054360236,56192.3014301115,183835.829258048,Reference_Forest,1-2 kHz
1010,133119.597873602,57780.056623737,154316.591879846,Reference_Forest,1-2 kHz
1020,100175.678547206,44585.8659522792,127203.751378018,Reference_Forest,1-2 kHz
1030,129293.056630997,51596.0147951087,146878.692387857,Reference_Forest,1-2 kHz
1040,127811.103264832,63942.2734287646,165097.12521383,Reference_Forest,1-2 kHz
1050,120535.238080274,70705.1283912584,146267.407599384,Reference_Forest,1-2 kHz
1060,111069.603541027,56346.4082261162,134497.510259328,Reference_Forest,1-2 kHz
1070,124051.564869666,83760.621237355,159331.613656016,Reference_Forest,1-2 kHz
1080,108358.095229602,60933.3845520904,142374.907010145,Reference_Forest,1-2 kHz
1090,124594.451491789,84496.9661081164,148715.642966807,Reference_Forest,1-2 kHz
1100,197581.509048496,132547.954252364,211882.810266944,Reference_Forest,1-2 kHz
1110,233270.224797879,180335.533727069,252098.777258434,Reference_Forest,1-2 kHz
1120,211184.704535351,158065.443914313,221065.618803726,Reference_Forest,1-2 kHz
1130,213559.618571749,163837.10746956,222387.04135939,Reference_Forest,1-2 kHz
1140,214071.441781206,145985.275300877,229126.808973036,Reference_Forest,1-2 kHz
1150,195338.064740834,139868.14136806,216800.23964181,Reference_Forest,1-2 kHz
1160,187915.403201274,120265.374095057,197073.564001117,Reference_Forest,1-2 kHz
1170,211690.131726034,149263.789060751,216770.646167736,Reference_Forest,1-2 kHz
1180,203722.0766163,159292.587906804,203488.594519669,Reference_Forest,1-2 kHz
1190,213508.762271632,168984.781043986,210192.018892921,Reference_Forest,1-2 kHz
1200,203544.247235181,155025.747922951,199895.858818854,Reference_Forest,1-2 kHz
1210,218094.13906784,163661.108555781,208401.377003521,Reference_Forest,1-2 kHz
1220,210050.546024796,150932.643718927,193671.867426706,Reference_Forest,1-2 kHz
1230,191911.801148041,142152.794282496,180769.215567276,Reference_Forest,1-2 kHz
1240,194240.971540418,128001.950803049,182561.546238544,Reference_Forest,1-2 kHz
1250,198829.780528653,129817.809980407,181753.117827933,Reference_Forest,1-2 kHz
1260,189126.925499479,120842.933763565,171414.778455894,Reference_Forest,1-2 kHz
1270,196646.262792835,137488.838908153,181680.673146259,Reference_Forest,1-2 kHz
1280,192281.054511894,113627.472530798,170992.968429897,Reference_Forest,1-2 kHz
1290,183434.75668268,129059.311841569,164552.033013356,Reference_Forest,1-2 kHz
1300,194579.241446734,140860.123017638,171574.411886529,Reference_Forest,1-2 kHz
1310,208646.952146683,151820.76686994,184431.246361622,Reference_Forest,1-2 kHz
1320,181603.217092068,130648.784293878,158596.607501059,Reference_Forest,1-2 kHz
1330,204036.800043489,143719.427155019,181645.344449241,Reference_Forest,1-2 kHz
1340,193465.413849417,126841.881144209,171426.948600456,Reference_Forest,1-2 kHz
1350,180381.09774275,95118.737260776,158880.632753565,Reference_Forest,1-2 kHz
1360,189896.943969397,123614.543383892,171693.638338176,Reference_Forest,1-2 kHz
1370,175636.244529697,115809.854167181,149595.973496128,Reference_Forest,1-2 kHz
1380,173044.418697395,114067.511517804,143859.143278129,Reference_Forest,1-2 kHz
1390,170855.220039639,119611.720451437,141891.029915284,Reference_Forest,1-2 kHz
1400,157169.114691698,98594.4828397067,131309.748060802,Reference_Forest,1-2 kHz
1410,135544.79517817,79988.1697847197,117422.455110361,Reference_Forest,1-2 kHz
1420,141690.750905542,91578.1816158674,128067.161056342,Reference_Forest,1-2 kHz
1430,111025.479292853,63745.3000717881,97171.7994365448,Reference_Forest,1-2 kHz
1440,121006.007617389,72753.7874334244,110749.189420541,Reference_Forest,1-2 kHz
0,73460.3640317633,75077.357986604,83003.3489975718,Natural_Regeneration,2-3 kHz
10,80868.4754135219,76084.4084546983,89586.5061359915,Reference_Forest,2-3 kHz
20,75061.5671571644,73042.1694032407,86110.6846050723,Reference_Forest,2-3 kHz
30,88455.6618251657,79795.3493297866,95062.1922524841,Reference_Forest,2-3 kHz
40,95100.2384635978,94427.0694872189,104081.899202339,Reference_Forest,2-3 kHz
50,81217.9023035036,83171.0689012176,89015.2054056253,Natural_Regeneration,2-3 kHz
60,84354.4445562371,79770.1678498098,87728.2604948721,Reference_Forest,2-3 kHz
70,71237.9460869971,57076.6766596691,75027.4097869358,Reference_Forest,2-3 kHz
80,83005.1561058069,78629.4730253219,85869.2055386441,Reference_Forest,2-3 kHz
90,78420.6195698261,74456.7840793739,80175.4350409199,Reference_Forest,2-3 kHz
100,68230.8062633378,58685.0028004571,71119.666184997,Reference_Forest,2-3 kHz
110,49200.2563066288,44734.5810377091,47615.6038560933,Reference_Forest,2-3 kHz
120,40744.1812231206,38881.3412640822,35949.3880033728,Plantation,2-3 kHz
130,64821.7114987519,62504.3927217116,58034.6965718915,Plantation,2-3 kHz
140,69298.5184289404,68423.8861358826,76848.9860618773,Reference_Forest,2-3 kHz
150,76623.9957058085,72921.2383892351,84586.2137920833,Reference_Forest,2-3 kHz
160,84574.2005434061,73378.5274864437,83421.9866947084,Reference_Forest,2-3 kHz
170,65929.7192894133,58260.5726960329,64951.2349444768,Reference_Forest,2-3 kHz
180,64002.1942054067,59149.3989329754,64644.4709286293,Reference_Forest,2-3 kHz
190,65117.9209658198,64443.5887263583,65572.3409166958,Reference_Forest,2-3 kHz
200,60590.0630768383,68094.2990931555,67759.0605433029,Natural_Regeneration,2-3 kHz
210,48865.217288705,42370.2502914933,54205.2563787179,Reference_Forest,2-3 kHz
220,67160.9742193448,70754.1110403048,72794.9727225555,Natural_Regeneration,2-3 kHz
230,79548.9282151922,83124.8419811121,81767.117149859,Natural_Regeneration,2-3 kHz
240,78303.5000020368,79861.7139999145,79627.6132774878,Natural_Regeneration,2-3 kHz
250,56774.6974557013,60352.9494440699,62544.9389398185,Natural_Regeneration,2-3 kHz
260,66072.227193406,59432.3686629488,64904.7544635323,Reference_Forest,2-3 kHz
270,72407.9999006958,83477.1055487482,79687.9323789184,Natural_Regeneration,2-3 kHz
280,44595.8648499781,33584.7193898036,54249.2904724787,Reference_Forest,2-3 kHz
290,107774.66004705,69749.0008899959,122797.395811652,Reference_Forest,2-3 kHz
300,249305.265300286,319932.343872107,373947.646009127,Natural_Regeneration,2-3 kHz
310,119042.078265499,223981.160893011,265896.472290949,Natural_Regeneration,2-3 kHz
320,115851.876656557,294547.334365933,211636.016655397,Natural_Regeneration,2-3 kHz
330,132912.739294772,265665.537532865,169848.878722905,Natural_Regeneration,2-3 kHz
340,143585.746041592,191826.600657703,169670.003857733,Natural_Regeneration,2-3 kHz
350,149134.23545188,150831.05539048,162121.141456352,Natural_Regeneration,2-3 kHz
360,160765.640792724,163953.930542479,170236.453233519,Natural_Regeneration,2-3 kHz
370,154750.362065127,141453.868283464,182658.073799105,Reference_Forest,2-3 kHz
380,162427.990714362,162359.611145518,181920.317704726,Reference_Forest,2-3 kHz
390,144657.510949689,180574.158620101,173064.156924963,Natural_Regeneration,2-3 kHz
400,136515.390184593,185822.171842987,158511.895988862,Natural_Regeneration,2-3 kHz
410,115100.476933691,171897.374833348,137078.190301666,Natural_Regeneration,2-3 kHz
420,143723.690131277,194894.916208144,188172.92563582,Natural_Regeneration,2-3 kHz
430,149913.976784674,154296.164706275,171913.552053748,Natural_Regeneration,2-3 kHz
440,141288.150112626,143847.712892298,173188.823476973,Natural_Regeneration,2-3 kHz
450,130917.939471846,181041.906363337,153854.651186731,Natural_Regeneration,2-3 kHz
460,151018.490833102,152404.757335002,156274.073548912,Natural_Regeneration,2-3 kHz
470,101699.973771458,189004.571774846,128686.603524771,Natural_Regeneration,2-3 kHz
480,84353.1915769242,207757.690406179,105551.684612734,Natural_Regeneration,2-3 kHz
490,76155.669546671,173657.51526998,138021.467966162,Natural_Regeneration,2-3 kHz
500,72374.7165817203,163349.112655264,135337.474684204,Natural_Regeneration,2-3 kHz
510,85978.4538101149,145879.862097441,143748.175768449,Natural_Regeneration,2-3 kHz
