Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	13200.000000000	13259.999979167	4221.942	5143.444	60.0000	921.502	-53.65	Amphibians
2	Spectrogram 1	1	13200.000000000	13259.999979167	5798.734	6351.635	60.0000	552.901	-50.96	Insects
3	Spectrogram 1	1	13200.050911671	13259.999979167	6413.068	7928.427	59.9491	1515.358	-57.33	Insects
4	Spectrogram 1	1	13200.780645615	13201.484923725	12248.976	14132.935	0.7043	1883.959	-67.60	Insects
5	Spectrogram 1	1	13202.944391615	13203.445023042	12515.187	14132.935	0.5006	1617.747	-66.91	Insects
6	Spectrogram 1	1	13204.828123426	13205.286328461	12433.276	14173.890	0.4582	1740.614	-67.32	Insects
7	Spectrogram 1	1	13206.525179111	13206.991869425	12535.665	14071.501	0.4667	1535.836	-67.61	Insects
8	Spectrogram 1	1	13208.472638786	13208.871446873	12494.709	14153.413	0.3988	1658.703	-68.03	Insects
9	Spectrogram 1	1	13210.059385852	13210.543046723	12248.976	13989.590	0.4837	1740.614	-68.08	Insects
10	Spectrogram 1	1	13212.070396840	13212.537087153	12392.320	14010.068	0.4667	1617.747	-67.60	Insects
11	Spectrogram 1	1	13213.971099208	13214.463245357	12269.453	14214.846	0.4921	1945.392	-68.69	Insects
12	Spectrogram 1	1	13215.724671487	13216.123479573	12289.931	14091.979	0.3988	1802.048	-65.92	Insects
13	Spectrogram 1	1	13217.413241894	13217.871446929	12371.843	13948.634	0.4582	1576.792	-68.65	Insects
14	Spectrogram 1	1	13219.186665086	13219.543046780	12289.931	13969.112	0.3564	1679.181	-68.56	Insects
15	Spectrogram 1	1	13221.460719705	13221.944380575	12310.409	14091.979	0.4837	1781.570	-68.07	Insects
16	Spectrogram 1	1	13223.570326221	13224.037016535	12392.320	14132.935	0.4667	1740.614	-68.44	Insects
17	Spectrogram 1	1	13225.725586942	13226.073483357	12289.931	13989.590	0.3479	1699.659	-68.76	Insects
18	Spectrogram 1	1	13227.449040197	13227.907245232	12371.843	14091.979	0.4582	1720.137	-67.60	Insects
19	Spectrogram 1	1	13252.991456079	13253.526028620	12576.621	14296.757	0.5346	1720.137	-69.65	Insects
20	Spectrogram 1	1	13254.688511765	13255.231569584	12433.276	14317.235	0.5431	1883.959	-69.29	Insects
21	Spectrogram 1	1	13256.292229388	13257.030448611	12617.576	14255.802	0.7382	1638.225	-68.70	Insects
22	Spectrogram 1	1	13258.192931756	13258.931150979	12760.921	14399.146	0.7382	1638.225	-68.65	Insects
23	Spectrogram 1	1	13259.788164100	13259.999979167	12719.965	14481.058	0.2118	1761.092	-70.13	Insects
24	Spectrogram 1	1	13200.033941114	13259.999979167	18348.123	18634.812	59.9660	286.689	-71.19	Possible bats
25	Spectrogram 1	1	13200.000000000	13259.999979167	2416.382	2907.850	60.0000	491.468	-66.04	unknown
